ID;Categoria;Bloco;Ordem;Teste;Referencia no codigo;Item detalhado;So no dominio;Prioridade;Como validar (criterio objetivo);Status;Executado por;Data/hora;Resultado observado;Evidencia (arquivo/print);Observacoes
GP-01;Politicas de dominio;0 - Reconhecimento;1;gpresult /h completo - inventario do que o dominio impoe;-;D-09 / D-19;S;P0;O HTML abre e as secoes Impressoras, PowerShell e Variaveis de ambiente foram lidas;;;;;;
AD-01;Active Directory;0 - Reconhecimento;2;Identidade interativa (whoami /fqdn, /groups, USERDOMAIN, LOGONSERVER);-;D-01;S;P0;whoami /fqdn devolve DN completo e LOGONSERVER aponta para um DC;;;;;;
GP-02;Politicas de dominio;0 - Reconhecimento;3;Variaveis de ambiente injetadas por GPO ou script de logon;backend/app/config.py (class Config);D-19;S;P0;Nenhuma variavel de Maquina ou Usuario colide com chave de Settings;;;;;;
AD-05;Active Directory;0 - Reconhecimento;4;Deriva de relogio < 5 min contra o DC;-;D-25;S;P0;w32tm /query /source aponta para o DC e o offset e menor que 5 min;;;;;;
IF-05;Infraestrutura;0 - Reconhecimento;5;Banco em disco local fixo, nao em pasta redirecionada;backend/app/config.py (DEFAULT_DB_PATH);D-20;S;P0;Get-Volume do caminho do .db mostra DriveType Fixed, nao Network;;;;;;
SE-02;Seguranca;0 - Reconhecimento;6;Perfil de firewall DomainAuthenticated e regras efetivas;backend/app/main.py (HOST 127.0.0.1);D-21;S;P0;Get-NetConnectionProfile mostra DomainAuthenticated e as saidas necessarias estao permitidas;;;;;;
RE-01;Rede corporativa;0 - Reconhecimento;7;DNS interno resolve o print server (curto, FQDN, reverso);backend/app/services/print_server.py:62-100;D-03;S;P0;As tres formas resolvem e o DNS configurado sao os DCs;;;;;;
SE-01;Seguranca;0 - Reconhecimento;8;Segredo do webhook versionado em Main.ps1 linha 11;Main.ps1:11;D-14;N;P0;String sig= confirmada na linha 11 --  ACL da pasta e visibilidade do repo registradas;;;;;;
AD-02;Active Directory;1 - Caminho critico;9;Identidade do processo do backend (tarefa agendada vs interativo);scripts/Servico-PrinterControl.ps1:118-134;D-01;S;P0;Principal.UserId da tarefa e uma conta de dominio, ou D-02 prova que MAQUINA$ enumera;;;;;;
SE-06;Seguranca;1 - Caminho critico;10;ExecutionPolicy e Script Block Logging poluindo o stdout;backend/app/services/print_server.py:130-155;D-23;S;P1;ConvertFrom-Json aceita a saida do Get-Printer sem erro (teste binario);;;;;;
SV-01;Servidores;1 - Caminho critico;11;Get-Printer -ComputerName retorna a frota completa;backend/app/services/print_server.py:170-180;D-02;S;P0;count da API == (Get-Printer -ComputerName ...).Count, identicos;;;;;;
